Topology,Number of Nodes,Algorithm,Latency (ms),Throughput (Mbps),Routing Overhead (packets),Network Utilization (%),Execution Time (s),Weights
linear,10,Distance Vector,33.0,0.7998254926197932,18,2.933333333333333,0.0002300739288330078,constant
linear,10,Link State,33.0,0.7998254926197932,18,2.933333333333333,0.0001049041748046875,constant
linear,10,Path Vector,366.66666666666663,0.02181342252599436,180,8.0,0.00023293495178222656,constant
linear,20,Distance Vector,66.5,0.7999085818763517,38,11.2,0.0016102790832519531,constant
linear,20,Link State,66.5,0.7999085818763517,38,11.2,0.0003800392150878906,constant
linear,20,Path Vector,700.0,0.011427265455376453,760,16.0,0.0017371177673339844,constant
linear,30,Distance Vector,99.88888888888889,0.7999380693107524,58,24.8,0.0063838958740234375,constant
linear,30,Link State,99.88888888888889,0.7999380693107524,58,24.8,0.0010139942169189453,constant
linear,30,Path Vector,1033.3333333333333,0.007741336154620185,1740,24.0,0.005908966064453125,constant
linear,40,Distance Vector,133.25,0.7999531734727634,78,43.733333333333334,0.013731956481933594,constant
linear,40,Link State,133.25,0.7999531734727634,78,43.733333333333334,0.002171039581298828,constant
linear,40,Path Vector,1366.6666666666665,0.0058533159034592445,3120,32.0,0.015022039413452148,constant
linear,50,Distance Vector,166.6,0.7999623547127581,98,68.0,0.026598215103149414,constant
linear,50,Link State,166.6,0.7999623547127581,98,68.0,0.0034439563751220703,constant
linear,50,Path Vector,1700.0,0.004705660910075048,4900,40.0,0.02730536460876465,constant
linear,60,Distance Vector,199.94444444444446,0.7999685258285103,118,97.6,0.04564619064331055,constant
linear,60,Link State,199.94444444444446,0.7999685258285103,118,97.6,0.006139993667602539,constant
linear,60,Path Vector,2033.3333333333335,0.003934271438500871,7080,48.0,0.04920697212219238,constant
linear,70,Distance Vector,233.28571428571428,0.7999729586605421,138,132.53333333333333,0.06915783882141113,constant
linear,70,Link State,233.28571428571428,0.7999729586605421,138,132.53333333333333,0.008194923400878906,constant
linear,70,Path Vector,2366.6666666666665,0.003380167430960037,9660,56.00000000000001,0.07673478126525879,constant
linear,80,Distance Vector,266.625,0.7999762969986727,158,172.8,0.10249662399291992,constant
linear,80,Link State,266.625,0.7999762969986727,158,172.8,0.012642860412597656,constant
linear,80,Path Vector,2700.0,0.002962875174069158,12640,64.0,0.10532021522521973,constant
linear,90,Distance Vector,299.962962962963,0.7999789016554614,178,218.4,0.14548277854919434,constant
linear,90,Link State,299.962962962963,0.7999789016554614,178,218.4,0.01701498031616211,constant
linear,90,Path Vector,3033.333333333333,0.002637293082380642,16020,72.0,0.15065598487854004,constant
linear,100,Distance Vector,333.3,0.799980990550861,198,269.3333333333333,0.202362060546875,constant
linear,100,Link State,333.3,0.799980990550861,198,269.3333333333333,0.022164106369018555,constant
linear,100,Path Vector,3366.666666666667,0.0023761811600520625,19800,80.0,0.2098550796508789,constant
linear,110,Distance Vector,366.6363636363636,0.7999827030767958,218,325.6,0.27089905738830566,constant
linear,110,Link State,366.6363636363636,0.7999827030767958,218,325.6,0.028066158294677734,constant
linear,110,Path Vector,3700.0,0.0021621154137210696,23980,88.0,0.27645373344421387,constant
linear,120,Distance Vector,399.97222222222223,0.7999841325460673,238,387.2,0.3474009037017822,constant
linear,120,Link State,399.97222222222223,0.7999841325460673,238,387.2,0.034898996353149414,constant
linear,120,Path Vector,4033.333333333333,0.001983431733585291,28560,96.0,0.3627326488494873,constant
linear,130,Distance Vector,433.3076923076923,0.7999853437797534,258,454.1333333333333,0.45651698112487793,constant
linear,130,Link State,433.3076923076923,0.7999853437797534,258,454.1333333333333,0.044541120529174805,constant
linear,130,Path Vector,4366.666666666667,0.0018320275048391299,33540,104.0,0.47393298149108887,constant
linear,140,Distance Vector,466.64285714285717,0.7999863832102864,278,526.4,0.5663638114929199,constant
linear,140,Link State,466.64285714285717,0.7999863832102864,278,526.4,0.05223703384399414,constant
linear,140,Path Vector,4700.0,0.0017020986876814604,38920,112.00000000000001,0.5922386646270752,constant
linear,150,Distance Vector,499.97777777777776,0.799987284970247,298,604.0,0.7006030082702637,constant
linear,150,Link State,499.97777777777776,0.799987284970247,298,604.0,0.0626521110534668,constant
linear,150,Path Vector,5033.333333333333,0.0015893787118614177,44700,120.0,0.7049558162689209,constant
linear,160,Distance Vector,533.3125,0.7999880747120278,318,686.9333333333333,0.841900110244751,constant
linear,160,Link State,533.3125,0.7999880747120278,318,686.9333333333333,0.0739741325378418,constant
linear,160,Path Vector,5366.666666666666,0.0014906610087801761,50880,128.0,0.8547649383544922,constant
linear,170,Distance Vector,566.6470588235294,0.7999887720876385,338,775.2,0.988814115524292,constant
linear,170,Link State,566.6470588235294,0.7999887720876385,338,775.2,0.08667922019958496,constant
linear,170,Path Vector,5700.0,0.0014034890738379622,57460,136.0,1.0294511318206787,constant
linear,180,Distance Vector,599.9814814814815,0.7999893924059187,358,868.8,1.1852929592132568,constant
linear,180,Link State,599.9814814814815,0.7999893924059187,358,868.8,0.10181307792663574,constant
linear,180,Path Vector,6033.333333333334,0.0013259492691810807,64440,144.0,1.2482070922851562,constant
linear,190,Distance Vector,633.3157894736842,0.7999899477701609,378,967.7333333333333,1.3927879333496094,constant
linear,190,Link State,633.3157894736842,0.7999899477701609,378,967.7333333333333,0.11620092391967773,constant
linear,190,Path Vector,6366.666666666666,0.001256528713775122,71820,152.0,1.4410438537597656,constant
linear,200,Distance Vector,666.65,0.7999904478749266,398,1072.0,1.629300832748413,constant
linear,200,Link State,666.65,0.7999904478749266,398,1072.0,0.13413000106811523,constant
linear,200,Path Vector,6700.0,0.001194015593843174,79600,160.0,1.7028782367706299,constant
star,10,Distance Vector,16.2,0.7996446023989328,18,1.44,0.0004911422729492188,constant
star,10,Link State,16.2,0.7996446023989328,18,1.44,0.00030112266540527344,constant
star,10,Path Vector,180.0,0.04442470013327404,180,8.0,0.005558967590332031,constant
star,20,Distance Vector,18.05,0.799663299663305,38,3.04,0.002004861831665039,constant
star,20,Link State,18.05,0.799663299663305,38,3.04,0.000492095947265625,constant
star,20,Path Vector,190.0,0.04208754208754237,760,16.0,0.0019881725311279297,constant
star,30,Distance Vector,18.68888888888889,0.7996691024403743,58,4.64,0.006054878234863281,constant
star,30,Link State,18.68888888888889,0.7996691024403743,58,4.64,0.000988006591796875,constant
star,30,Path Vector,193.33333333333331,0.04136219495381246,1740,24.0,0.0058362483978271484,constant
star,40,Distance Vector,19.0125,0.799671929464808,78,6.24,0.013447046279907227,constant
star,40,Link State,19.0125,0.799671929464808,78,6.24,0.002117156982421875,constant
star,40,Path Vector,195.0,0.04100881689563118,3120,32.0,0.01341104507446289,constant
star,50,Distance Vector,19.208,0.799673602611138,98,7.84,0.025152921676635742,constant
star,50,Link State,19.208,0.799673602611138,98,7.84,0.0036590099334716797,constant
star,50,Path Vector,196.0,0.04079967360260908,4900,40.0,0.02558112144470215,constant
star,60,Distance Vector,19.33888888888889,0.799674708593066,118,9.44,0.04103398323059082,constant
star,60,Link State,19.33888888888889,0.799674708593066,118,9.44,0.005097389221191406,constant
star,60,Path Vector,196.66666666666669,0.040661425860664374,7080,48.0,0.041539907455444336,constant
star,70,Distance Vector,19.43265306122449,0.7996754940023806,138,11.04,0.06354498863220215,constant
star,70,Link State,19.43265306122449,0.7996754940023806,138,11.04,0.007908105850219727,constant
star,70,Path Vector,197.14285714285717,0.04056324969577293,9660,56.00000000000001,0.08208727836608887,constant
star,80,Distance Vector,19.503125,0.7996760805749009,158,12.64,0.09429335594177246,constant
star,80,Link State,19.503125,0.7996760805749009,158,12.64,0.012538909912109375,constant
star,80,Path Vector,197.5,0.040489928130374726,12640,64.0,0.09909510612487793,constant
star,90,Distance Vector,19.558024691358025,0.7996765353339643,178,14.24,0.13600492477416992,constant
star,90,Link State,19.558024691358025,0.7996765353339643,178,14.24,0.01658916473388672,constant
star,90,Path Vector,197.77777777777777,0.04043308324722291,16020,72.0,0.13796138763427734,constant
star,100,Distance Vector,19.602,0.7996768982228809,198,15.84,0.18534183502197266,constant
star,100,Link State,19.602,0.7996768982228809,198,15.84,0.0216519832611084,constant
star,100,Path Vector,198.0,0.04038772213246873,19800,80.0,0.18581509590148926,constant
star,110,Distance Vector,19.63801652892562,0.7996771945269194,218,17.44,0.24431204795837402,constant
star,110,Link State,19.63801652892562,0.7996771945269194,218,17.44,0.028691768646240234,constant
star,110,Path Vector,198.18181818181816,0.04035068412750511,23980,88.0,0.24816203117370605,constant
star,120,Distance Vector,19.668055555555554,0.7996774410322148,238,19.04,0.3161792755126953,constant
star,120,Link State,19.668055555555554,0.7996774410322148,238,19.04,0.034301042556762695,constant
star,120,Path Vector,198.33333333333331,0.04031987097641419,28560,96.0,0.3185458183288574,constant
star,130,Distance Vector,19.693491124260355,0.7996776493198408,258,20.64,0.4035489559173584,constant
star,130,Link State,19.693491124260355,0.7996776493198408,258,20.64,0.0415959358215332,constant
star,130,Path Vector,198.46153846153845,0.04029383504324779,33540,104.0,0.42079591751098633,constant
