Topology,Number of Nodes,Algorithm,Latency (ms),Throughput (Mbps),Routing Overhead (packets),Network Utilization (%),Execution Time (s),Weights
linear,10,Distance Vector,25.66,0.7997755890786687,18,2.2808888888888887,0.00022721290588378906,random
linear,10,Link State,25.66,0.7997755890786687,18,2.2808888888888887,9.608268737792969e-05,random
linear,10,Path Vector,285.11111111111114,0.02805136516643811,180,8.0,0.00023484230041503906,random
linear,20,Distance Vector,43.775,0.7998611320478924,38,7.372631578947368,0.001628875732421875,random
linear,20,Link State,43.775,0.7998611320478924,38,7.372631578947368,0.0003941059112548828,random
linear,20,Path Vector,460.7894736842105,0.017358494013603603,760,16.0,0.0017580986022949219,random
linear,30,Distance Vector,66.1,0.7999064153865875,58,16.41103448275862,0.005745887756347656,random
linear,30,Link State,66.1,0.7999064153865875,58,16.41103448275862,0.0011403560638427734,random
linear,30,Path Vector,683.7931034482758,0.011698076674841672,1740,24.0,0.005753755569458008,random
linear,40,Distance Vector,76.86375,0.7999188256253303,78,25.227076923076922,0.014653205871582031,random
linear,40,Link State,76.86375,0.7999188256253303,78,25.227076923076922,0.0019609928131103516,random
linear,40,Path Vector,788.3461538461539,0.010146796831857633,3120,32.0,0.014702796936035156,random
linear,50,Distance Vector,95.7312,0.7999344885847905,98,39.073959183673466,0.02630305290222168,random
linear,50,Link State,95.7312,0.7999344885847905,98,39.073959183673466,0.0033597946166992188,random
linear,50,Path Vector,976.8489795918367,0.008188926899622011,4900,40.0,0.02680683135986328,random
linear,60,Distance Vector,126.975,0.7999504395081767,118,61.98101694915254,0.04340195655822754,random
linear,60,Link State,126.975,0.7999504395081767,118,61.98101694915254,0.005227088928222656,random
linear,60,Path Vector,1291.2711864406779,0.006195061485985748,7080,48.0,0.04475116729736328,random
linear,70,Distance Vector,129.29061224489797,0.7999512092443339,138,73.4520579710145,0.06777191162109375,random
linear,70,Link State,129.29061224489797,0.7999512092443339,138,73.4520579710145,0.00780797004699707,random
linear,70,Path Vector,1311.6438923395444,0.006098844464692945,9660,56.00000000000001,0.07097125053405762,random
linear,80,Distance Vector,149.2325,0.799957652217469,158,96.71777215189873,0.10658597946166992,random
linear,80,Link State,149.2325,0.799957652217469,158,96.71777215189873,0.012833833694458008,random
linear,80,Path Vector,1511.2151898734178,0.0052934728129914775,12640,64.0,0.10426187515258789,random
linear,90,Distance Vector,152.4283950617284,0.7999584817485617,178,110.98157303370786,0.1438741683959961,random
linear,90,Link State,152.4283950617284,0.7999584817485617,178,110.98157303370786,0.016875028610229492,random
linear,90,Path Vector,1541.4107365792759,0.0051897814305085395,16020,72.0,0.14903020858764648,random
linear,100,Distance Vector,199.2172,0.7999681967817431,198,160.98359595959596,0.19939613342285156,random
linear,100,Link State,199.2172,0.7999681967817431,198,160.98359595959596,0.021919965744018555,random
linear,100,Path Vector,2012.2949494949494,0.00397540229866661,19800,80.0,0.21076726913452148,random
linear,110,Distance Vector,204.33702479338842,0.7999689651342944,218,181.4662752293578,0.26466822624206543,random
linear,110,Link State,204.33702479338842,0.7999689651342944,218,181.4662752293578,0.04509472846984863,random
linear,110,Path Vector,2062.1167639699747,0.003879358235729576,23980,88.0,0.2727692127227783,random
linear,120,Distance Vector,212.04472222222222,0.7999700703270807,238,205.27354621848738,0.3406789302825928,random
linear,120,Link State,212.04472222222222,0.7999700703270807,238,205.27354621848738,0.03505396842956543,random
linear,120,Path Vector,2138.266106442577,0.003741209140980058,28560,96.0,0.35259008407592773,random
linear,130,Distance Vector,255.2691124260355,0.799975122052048,258,267.5378604651163,0.4354419708251953,random
linear,130,Link State,255.2691124260355,0.799975122052048,258,267.5378604651163,0.04258108139038086,random
linear,130,Path Vector,2572.479427549195,0.0031097435162549987,33540,104.0,0.4582667350769043,random
linear,140,Distance Vector,262.5448979591837,0.7999757980690957,278,296.16575539568345,0.5433969497680664,random
linear,140,Link State,262.5448979591837,0.7999757980690957,278,296.16575539568345,0.052184104919433594,random
linear,140,Path Vector,2644.3371017471736,0.003025241364047471,38920,112.00000000000001,0.5803136825561523,random
