Topology,Number of Nodes,Algorithm,Latency (ms),Throughput (Mbps),Routing Overhead (packets),Network Utilization (%),Execution Time (s),Weights
tree,10,Distance Vector,19.27111111111111,0.7996901569502618,28,2.4777142857142858,0.0007488727569580078,random
tree,10,Link State,19.27111111111111,0.7996901569502618,28,2.4777142857142858,0.00021219253540039062,random
tree,10,Path Vector,206.47619047619048,0.03873038121760954,420,12.0,0.0007641315460205078,random
tree,20,Distance Vector,23.812695109261185,0.7997399901447789,60,6.1024,0.006638050079345703,random
tree,20,Link State,23.812695109261185,0.7997399901447789,60,6.1024,0.001188039779663086,random
tree,20,Path Vector,246.06451612903226,0.0325012319015314,1860,24.8,0.006500244140625,random
tree,30,Distance Vector,34.257495590828924,0.7998161872188869,124,17.54425806451613,0.05226492881774902,random
tree,30,Link State,34.257495590828924,0.7998161872188869,124,17.54425806451613,0.0065670013427734375,random
tree,30,Path Vector,348.10035842293905,0.022976597635303693,7812,50.4,0.057314157485961914,random
tree,40,Distance Vector,46.61466922933846,0.799863808422317,252,47.736380952380955,0.40569496154785156,random
tree,40,Link State,46.61466922933846,0.799863808422317,252,47.736380952380955,0.04210996627807617,random
tree,40,Path Vector,469.846269216348,0.017023947210571707,32004,101.6,0.4117560386657715,random
tree,50,Distance Vector,65.29728565936179,0.7999023830166785,508,133.73089763779527,3.3877620697021484,random
tree,50,Link State,65.29728565936179,0.7999023830166785,508,133.73089763779527,0.2841010093688965,random
tree,50,Path Vector,655.5436158715454,0.012202122996090931,129540,204.0,3.358788251876831,random
tree,60,Distance Vector,59.28322952710496,0.7998924814793077,508,121.41392125984252,3.324491024017334,random
tree,60,Link State,59.28322952710496,0.7998924814793077,508,121.41392125984252,0.2826817035675049,random
tree,60,Path Vector,595.1662806855026,0.013439815181700229,129540,204.0,3.3561599254608154,random
tree,70,Distance Vector,72.73928944818685,0.7999121963589098,1020,297.9412705882353,27.205965995788574,random
tree,70,Link State,72.73928944818685,0.7999121963589098,1020,297.9412705882353,2.198328971862793,random
tree,70,Path Vector,728.8191550592841,0.01097545517027256,521220,408.8,27.001001834869385,random
tree,80,Distance Vector,67.45557806534136,0.7999053196240158,1020,276.29910588235293,27.650161027908325,random
tree,80,Link State,67.45557806534136,0.7999053196240158,1020,276.29910588235293,2.1866869926452637,random
tree,80,Path Vector,675.8784390468516,0.011835047153628268,521220,408.8,27.513598918914795,random
tree,90,Distance Vector,76.58832578934745,0.7999165267362899,2044,627.4121643835616,229.89768290519714,random
tree,90,Link State,76.58832578934745,0.7999165267362899,2044,627.4121643835616,16.77977204322815,random
tree,90,Path Vector,766.6326544276169,0.01043415672573357,2091012,818.4,233.9350070953369,random
tree,100,Distance Vector,89.74109501459235,0.7999287249210991,4092,1470.3184516129031,8012.485827922821,random
tree,100,Link State,89.74109501459235,0.7999287249210991,4092,1470.3184516129031,142.04555535316467,random
tree,100,Path Vector,897.8495674236098,0.008909384756028834,8376324,1637.6000000000001,1882.690417289734,random
