Topology,Number of Nodes,Algorithm,Latency (ms),Throughput (Mbps),Routing Overhead (packets),Network Utilization (%),Execution Time (s),Weights
linear,10,Distance Vector,188.81680000000003,0.7999694954031269,18,16.783715555555556,0.00021982192993164062,real
linear,10,Link State,188.81680000000003,0.7999694954031269,18,16.783715555555556,9.608268737792969e-05,real
linear,10,Path Vector,2097.964444444444,0.0038130746091598533,180,8.0,0.00022792816162109375,real
linear,20,Distance Vector,316.2084,0.7999807726364263,38,53.25615157894737,0.0015730857849121094,real
linear,20,Link State,316.2084,0.7999807726364263,38,53.25615157894737,0.0004138946533203125,real
linear,20,Path Vector,3328.509473684211,0.002403420446783213,760,16.0,0.001712799072265625,real
linear,30,Distance Vector,539.8113555555556,0.7999885393703292,58,134.02212965517242,0.005652904510498047,real
linear,30,Link State,539.8113555555556,0.7999885393703292,58,134.02212965517242,0.0009999275207519531,real
linear,30,Path Vector,5584.255402298849,0.001432578708776466,1740,24.0,0.0057370662689208984,real
linear,40,Distance Vector,728.8211375000002,0.7999914383201898,78,239.20283487179486,0.012654781341552734,real
linear,40,Link State,728.8211375000002,0.7999914383201898,78,239.20283487179486,0.0019829273223876953,real
linear,40,Path Vector,7475.088589743583,0.0010702099763979266,3120,32.0,0.013766288757324219,real
linear,50,Distance Vector,764.2954720000001,0.7999917938338085,98,311.9573355102041,0.024365663528442383,real
linear,50,Link State,764.2954720000001,0.7999917938338085,98,311.9573355102041,0.003299713134765625,real
linear,50,Path Vector,7798.933387755118,0.0010257707741033592,4900,40.0,0.025913000106811523,real
linear,60,Distance Vector,1068.2361944444442,0.7999941087120783,118,521.4441084745763,0.04130697250366211,real
linear,60,Link State,1068.2361944444442,0.7999941087120783,118,521.4441084745763,0.005155801773071289,real
linear,60,Path Vector,10863.418926553692,0.0007364109900582373,7080,48.0,0.04286694526672363,real
linear,70,Distance Vector,1355.9438775510203,0.7999953474956772,138,770.3333333333334,0.06473588943481445,real
linear,70,Link State,1355.9438775510203,0.7999953474956772,138,770.3333333333334,0.0077478885650634766,real
linear,70,Path Vector,13755.95238095237,0.000581563039287208,9660,56.00000000000001,0.06807184219360352,real
linear,80,Distance Vector,1302.9606531250001,0.7999951495375769,158,844.4504486075949,0.09710526466369629,real
linear,80,Link State,1302.9606531250001,0.7999951495375769,158,844.4504486075949,0.011702775955200195,real
linear,80,Path Vector,13194.538259493605,0.0006063078023681263,12640,64.0,0.1025390625,real
linear,90,Distance Vector,1540.3195061728393,0.7999958912054572,178,1121.4910561797753,0.14293313026428223,real
linear,90,Link State,1540.3195061728393,0.7999958912054572,178,1121.4910561797753,0.015969038009643555,real
linear,90,Path Vector,15576.26466916354,0.0005135993180632167,16020,72.0,0.17276692390441895,real
linear,100,Distance Vector,1691.273936,0.799996253729108,198,1366.6860088888889,0.18999481201171875,real
linear,100,Link State,1691.273936,0.799996253729108,198,1366.6860088888889,0.02122020721435547,real
linear,100,Path Vector,17083.575111111175,0.000468283862438602,19800,80.0,0.19987773895263672,real
linear,110,Distance Vector,1959.6280148760327,0.7999967637773756,218,1740.293503119266,0.24945712089538574,real
linear,110,Link State,1959.6280148760327,0.7999967637773756,218,1740.293503119266,0.02686285972595215,real
linear,110,Path Vector,19776.062535446134,0.0004045278287037564,23980,88.0,0.2656378746032715,real
linear,120,Distance Vector,2258.9590736111104,0.7999971904562454,238,2186.8242460504202,0.32683396339416504,real
linear,120,Link State,2258.9590736111104,0.7999971904562454,238,2186.8242460504202,0.03397011756896973,real
linear,120,Path Vector,22779.41922969187,0.00035119297045707273,28560,96.0,0.3431549072265625,real
linear,130,Distance Vector,2178.021755029585,0.799997084167749,258,2282.701870387597,0.4141979217529297,real
linear,130,Link State,2178.021755029585,0.799997084167749,258,2282.701870387597,0.041200876235961914,real
linear,130,Path Vector,21949.056446034658,0.00036447903176825623,33540,104.0,0.4376380443572998,real
linear,140,Distance Vector,2251.925785714285,0.7999971782980865,278,2540.30189352518,0.513267993927002,real
linear,140,Link State,2251.925785714285,0.7999971782980865,278,2540.30189352518,0.05028676986694336,real
linear,140,Path Vector,22681.266906474848,0.00035271273937070564,38920,112.00000000000001,0.542186975479126,real
linear,150,Distance Vector,2902.543853333334,0.7999978097433553,298,3506.4288161073828,0.6404087543487549,real
linear,150,Link State,2902.543853333334,0.7999978097433553,298,3506.4288161073828,0.060666799545288086,real
linear,150,Path Vector,29220.240134228217,0.00027378207915760726,44700,120.0,0.7446298599243164,real
linear,160,Distance Vector,2848.60077421875,0.7999977673311236,318,3669.141123018868,0.7775287628173828,real
linear,160,Link State,2848.60077421875,0.7999977673311236,318,3669.141123018868,0.07181906700134277,real
linear,160,Path Vector,28665.16502358487,0.0002790836078120979,50880,128.0,0.8195211887359619,real
linear,170,Distance Vector,2728.3073439446375,0.7999976680286904,338,3732.4535971597634,0.9626867771148682,real
linear,170,Link State,2728.3073439446375,0.7999976680286904,338,3732.4535971597634,0.08485078811645508,real
linear,170,Path Vector,27444.511743821982,0.0002914964111936818,57460,136.0,1.076766014099121,real
linear,180,Distance Vector,3070.3356462962947,0.7999979271230417,358,4445.983237541899,1.1829392910003662,real
linear,180,Link State,3070.3356462962947,0.7999979271230417,358,4445.983237541899,0.09812092781066895,real
linear,180,Path Vector,30874.88359404092,0.0002591096172674951,64440,144.0,1.1741290092468262,real
linear,190,Distance Vector,3366.019460387812,0.7999981086559661,378,5143.4202124867725,1.356795072555542,real
linear,190,Link State,3366.019460387812,0.7999981086559661,378,5143.4202124867725,0.11655902862548828,real
linear,190,Path Vector,33838.29087162331,0.00023641800104237464,71820,152.0,1.4096930027008057,real
linear,200,Distance Vector,3703.1203634999983,0.7999982803728491,398,5954.766413668342,1.6337411403656006,real
linear,200,Link State,3703.1203634999983,0.7999982803728491,398,5954.766413668342,0.1307680606842041,real
linear,200,Path Vector,37217.29008542726,0.0002149533935803934,79600,160.0,1.672147274017334,real
star,10,Distance Vector,75.2022,0.7999234138285903,18,6.68464,0.00045108795166015625,real
star,10,Link State,75.2022,0.7999234138285903,18,6.68464,0.00028014183044433594,real
star,10,Path Vector,835.5799999999995,0.009573271426178108,180,8.0,0.005678892135620117,real
star,20,Distance Vector,136.04285000000004,0.7999553106954076,38,22.91248,0.0017971992492675781,real
star,20,Link State,136.04285000000004,0.7999553106954076,38,22.91248,0.00043320655822753906,real
star,20,Path Vector,1432.0299999999988,0.00558616307406554,760,16.0,0.0016567707061767578,real
star,30,Distance Vector,137.48384444444443,0.7999550033044444,58,34.13392,0.005330801010131836,real
star,30,Link State,137.48384444444443,0.7999550033044444,58,34.13392,0.0010149478912353516,real
star,30,Path Vector,1422.2466666666662,0.005624586944396268,1740,24.0,0.005467891693115234,real
star,40,Distance Vector,104.47807499999999,0.7999402790090022,78,34.29024,0.012044906616210938,real
star,40,Link State,104.47807499999999,0.7999402790090022,78,34.29024,0.002007007598876953,real
star,40,Path Vector,1071.570000000002,0.007465123874399266,3120,32.0,0.012633323669433594,real
star,50,Distance Vector,87.66648799999997,0.799928462525538,98,35.78224,0.02295398712158203,real
star,50,Link State,87.66648799999997,0.799928462525538,98,35.78224,0.0033850669860839844,real
star,50,Path Vector,894.5560000000011,0.008942184307360724,4900,40.0,0.02455925941467285,real
star,60,Distance Vector,77.90884444444447,0.7999192299925941,118,38.03008,0.03915810585021973,real
star,60,Link State,77.90884444444447,0.7999192299925941,118,38.03008,0.0053098201751708984,real
star,60,Path Vector,792.2933333333331,0.010096250925489644,7080,48.0,0.04113602638244629,real
star,70,Distance Vector,118.21474285714292,0.7999466382070417,138,67.15968,0.062304019927978516,real
star,70,Link State,118.21474285714292,0.7999466382070417,138,67.15968,0.008133172988891602,real
